entity_id,pathway,event,event_type,time,resource_id,run
1,Shared,arrival,arrival_departure,3.2853547796633684,,0
1,Non-Trauma,triage_wait_begins,queue,3.2853547796633684,,0
1,Non-Trauma,triage_begins,resource_use,3.2853547796633684,1.0,0
2,Shared,arrival,arrival_departure,3.2896910726848234,,0
2,Non-Trauma,triage_wait_begins,queue,3.2896910726848234,,0
2,Non-Trauma,triage_begins,resource_use,3.2896910726848234,2.0,0
1,Non-Trauma,triage_complete,resource_use_end,7.364946203476826,1.0,0
1,Non-Trauma,MINORS_registration_wait_begins,queue,7.364946203476826,,0
1,Non-Trauma,MINORS_registration_begins,resource_use,7.364946203476826,1.0,0
2,Non-Trauma,triage_complete,resource_use_end,9.407273681480012,2.0,0
2,Non-Trauma,MINORS_registration_wait_begins,queue,9.407273681480012,,0
2,Non-Trauma,MINORS_registration_begins,resource_use,9.407273681480012,2.0,0
1,Non-Trauma,MINORS_registration_complete,resource_use_end,15.41848117701752,1.0,0
1,Non-Trauma,MINORS_examination_wait_begins,queue,15.41848117701752,,0
1,Non-Trauma,MINORS_examination_begins,resource_use,15.41848117701752,1.0,0
2,Non-Trauma,MINORS_registration_complete,resource_use_end,17.104669545469108,2.0,0
2,Non-Trauma,MINORS_examination_wait_begins,queue,17.104669545469108,,0
2,Non-Trauma,MINORS_examination_begins,resource_use,17.104669545469108,2.0,0
1,Non-Trauma,MINORS_examination_complete,resource_use_end,31.63625230799815,1.0,0
1,Shared,depart,arrival_departure,31.63625230799815,,0
2,Non-Trauma,MINORS_examination_complete,resource_use_end,32.875857210321634,2.0,0
2,Non-Trauma,requires_treatment,attribute_assigned,32.875857210321634,,0
2,Non-Trauma,MINORS_treatment_wait_begins,queue,32.875857210321634,,0
2,Non-Trauma,MINORS_treatment_begins,resource_use,32.875857210321634,1.0,0
3,Shared,arrival,arrival_departure,33.426167541863656,,0
3,Non-Trauma,triage_wait_begins,queue,33.426167541863656,,0
3,Non-Trauma,triage_begins,resource_use,33.426167541863656,1.0,0
3,Non-Trauma,triage_complete,resource_use_end,33.54500751739799,1.0,0
3,Non-Trauma,MINORS_registration_wait_begins,queue,33.54500751739799,,0
3,Non-Trauma,MINORS_registration_begins,resource_use,33.54500751739799,1.0,0
4,Shared,arrival,arrival_departure,37.90054782693397,,0
4,Non-Trauma,triage_wait_begins,queue,37.90054782693397,,0
4,Non-Trauma,triage_begins,resource_use,37.90054782693397,2.0,0
4,Non-Trauma,triage_complete,resource_use_end,37.914163787021344,2.0,0
4,Non-Trauma,MINORS_registration_wait_begins,queue,37.914163787021344,,0
